id,timestamp,type,group,value
434,434,0,1,557
437,437,6,1,89
438,438,5,1,65
441,441,4,1,803
442,442,1,1,29
444,444,5,1,7
447,447,3,1,973
448,448,0,1,461
450,450,0,1,639
455,455,4,1,618
458,458,5,1,42
463,463,2,1,770
465,465,6,1,80
470,470,1,1,97
475,475,1,1,35
480,480,2,1,230
483,483,4,1,751
488,488,6,1,40
493,493,1,1,75
494,494,5,1,95
499,499,6,1,86
503,503,5,1,21
507,507,4,1,505
512,512,6,1,40
517,517,2,1,605
522,522,0,1,420
527,527,6,1,69
528,528,6,1,64
533,533,2,1,238
534,534,0,1,957
535,535,6,1,33
537,537,0,1,384
540,540,4,1,795
544,544,6,1,10
545,545,1,1,16
546,546,5,1,69
550,550,6,1,29
554,554,5,1,11
558,558,1,1,98
562,562,3,1,972
563,563,1,1,80
567,567,0,1,955
569,569,2,1,464
572,572,5,1,70
574,574,6,1,52
578,578,4,1,9
580,580,5,1,33
581,581,4,1,201
585,585,1,1,57
587,587,4,1,625
591,591,2,1,185
595,595,5,1,17
596,596,5,1,27
601,601,4,1,202
606,606,4,1,559
610,610,0,1,513
612,612,0,1,839
615,615,1,1,9
617,617,3,1,213
618,618,0,1,838
620,620,1,1,43
625,625,3,1,509
626,626,0,1,778
628,628,6,1,89
631,631,5,1,55
632,632,6,1,58
636,636,1,1,54
637,637,3,1,739
640,640,6,1,62
644,644,6,1,54
647,647,1,1,4
649,649,5,1,60
654,654,4,1,886
655,655,4,1,862
660,660,0,1,776
662,662,2,1,305
666,666,3,1,862
671,671,5,1,95
672,672,4,1,247
674,674,2,1,152
679,679,3,1,453
680,680,1,1,37
684,684,6,1,61
689,689,2,1,930
692,692,4,1,917
693,693,0,1,949
697,697,6,1,86
698,698,1,1,37
699,699,0,1,299
702,702,6,1,64
707,707,3,1,688
710,710,2,1,247
715,715,6,1,51
720,720,5,1,84
725,725,5,1,42
727,727,1,1,19
730,730,1,1,83
732,732,1,1,63
733,733,5,1,65
735,735,2,1,650
736,736,5,1,62
740,740,3,1,518
743,743,4,1,803
745,745,3,1,749
750,750,6,1,100
753,753,6,1,79
756,756,5,1,10
760,760,6,1,26
764,764,3,1,700
765,765,6,1,75
767,767,1,1,60
769,769,6,1,94
770,770,6,1,49
774,774,0,1,44
776,776,0,1,913
780,780,4,1,863
783,783,5,1,37
784,784,3,1,508
789,789,6,1,54
790,790,2,1,319
795,795,6,1,12
796,796,5,1,18
798,798,3,1,595
801,801,1,1,90
805,805,1,1,66
806,806,6,1,83
810,810,6,1,40
811,811,5,1,40
812,812,6,1,60
816,816,6,1,29
821,821,5,1,65
823,823,0,1,943
824,824,3,1,389
826,826,3,1,536
829,829,0,1,183
832,832,5,1,67
834,834,0,1,715
837,837,4,1,23
840,840,1,1,11
844,844,3,1,199
848,848,4,1,747
851,851,0,1,442
853,853,2,1,711
857,857,4,1,277
858,858,6,1,6
861,861,5,1,75
863,863,1,1,28
868,868,3,1,898
872,872,2,1,604
876,876,4,1,145
877,877,5,1,34
882,882,1,1,33
887,887,3,1,365
888,888,3,1,993
890,890,5,1,15
895,895,4,1,290
899,899,6,1,40
900,900,0,1,418
905,905,6,1,10
908,908,0,1,741
911,911,4,1,919
913,913,2,1,667
914,914,1,1,45
916,916,6,1,69
921,921,1,1,78
922,922,2,1,53
925,925,2,1,739
926,926,6,1,74
930,930,3,1,984
934,934,2,1,487
936,936,1,1,84
941,941,4,1,836
946,946,4,1,783
950,950,1,1,94
953,953,1,1,92
956,956,3,1,25
959,959,1,1,46
961,961,2,1,300
963,963,5,1,27
965,965,4,1,943
970,970,2,1,929
975,975,3,1,671
978,978,3,1,31
980,980,2,1,401
982,982,3,1,430
987,987,5,1,23
992,992,1,1,97
997,997,5,1,82
1001,1001,4,1,180
1006,1006,4,1,644
1007,1007,0,1,959
1010,1010,0,1,272
1014,1014,5,1,89
1016,1016,4,1,296
1020,1020,4,1,480
1025,1025,6,1,37
1026,1026,3,1,256
1028,1028,1,1,26
1032,1032,4,1,293
1037,1037,5,1,51
1042,1042,6,1,60
1044,1044,3,1,109
1049,1049,5,1,93
1050,1050,2,1,30
1054,1054,4,1,555
1059,1059,5,1,30
1064,1064,6,1,98
1065,1065,4,1,451
1066,1066,0,1,523
1071,1071,0,1,1
1074,1074,6,1,38
1075,1075,4,1,156
1077,1077,2,1,535
1078,1078,5,1,7
1080,1080,1,1,56
1083,1083,1,1,95
1086,1086,4,1,327
1089,1089,0,1,124
1093,1093,3,1,975
1094,1094,4,1,489
1095,1095,1,1,46
1096,1096,5,1,83
1099,1099,2,1,220
1100,1100,2,1,24
1105,1105,0,1,375
1107,1107,4,1,800
1110,1110,0,1,326
1115,1115,1,1,29
1120,1120,2,1,669
1123,1123,3,1,404
1126,1126,0,1,375
1128,1128,3,1,676
1130,1130,0,1,502
1133,1133,1,1,13
1136,1136,0,1,326
1140,1140,4,1,832
1145,1145,5,1,10
1148,1148,2,1,469
1153,1153,4,1,980
1154,1154,2,1,279
1158,1158,1,1,52
1163,1163,0,1,760
1168,1168,5,1,38
1169,1169,2,1,761
1170,1170,6,1,15
1172,1172,0,1,500
1173,1173,1,1,61
1176,1176,6,1,51
1181,1181,5,1,34
1184,1184,0,1,196
1188,1188,6,1,55
1193,1193,5,1,24
1196,1196,0,1,875
1198,1198,4,1,713
1202,1202,5,1,49
1204,1204,2,1,72
1206,1206,6,1,27
1209,1209,0,1,109
1211,1211,3,1,353
1212,1212,0,1,79
1217,1217,5,1,42
1219,1219,1,1,56
1220,1220,3,1,152
1225,1225,2,1,803
1226,1226,0,1,656
1230,1230,6,1,36
1232,1232,5,1,7
1234,1234,6,1,53
1236,1236,2,1,305
1237,1237,5,1,41
1242,1242,4,1,561
1246,1246,2,1,866
1248,1248,4,1,208
1251,1251,3,1,663
1256,1256,6,1,27
1258,1258,4,1,230
1260,1260,1,1,8
1262,1262,3,1,651
1267,1267,4,1,411
1271,1271,0,1,176
1276,1276,0,1,447
1280,1280,2,1,325
1282,1282,3,1,187
1284,1284,2,1,713
1289,1289,4,1,984
1292,1292,1,1,59
1294,1294,2,1,112
1298,1298,4,1,196
1302,1302,3,1,981
1304,1304,1,1,11
1309,1309,2,1,532
1310,1310,4,1,430
1313,1313,1,1,93
1316,1316,5,1,5
1321,1321,6,1,82
1323,1323,0,1,756
1328,1328,4,1,65
1331,1331,6,1,2
1333,1333,6,1,70
1338,1338,5,1,15
1340,1340,5,1,91
1341,1341,1,1,24
1346,1346,2,1,411
1348,1348,3,1,935
1350,1350,6,1,20
1354,1354,4,1,72
1358,1358,2,1,466
1362,1362,0,1,762
1364,1364,0,1,908
1366,1366,5,1,31
1368,1368,6,1,91
1371,1371,3,1,798
1376,1376,2,1,235
1379,1379,0,1,44
1382,1382,4,1,440
1386,1386,2,1,325
1387,1387,0,1,246
1392,1392,5,1,43
1397,1397,0,1,191
1399,1399,2,1,227
1401,1401,2,1,606
1405,1405,4,1,691
1407,1407,3,1,883
1411,1411,2,1,188
1416,1416,4,1,338
1421,1421,2,1,478
1422,1422,6,1,100
1427,1427,0,1,66
1430,1430,2,1,732
1432,1432,5,1,45
1434,1434,2,1,996
1435,1435,3,1,429
1438,1438,5,1,78
1441,1441,4,1,38
1443,1443,5,1,13
1448,1448,4,1,858
1451,1451,6,1,37
1454,1454,2,1,310
1458,1458,3,1,592
1461,1461,2,1,617
1464,1464,5,1,49
1467,1467,4,1,580
1470,1470,3,1,9
1471,1471,4,1,710
1476,1476,6,1,5
1480,1480,3,1,20
1483,1483,5,1,47
1486,1486,6,1,95
1487,1487,5,1,86
1491,1491,5,1,22
1496,1496,4,1,837
1501,1501,4,1,982
1503,1503,3,1,32
1507,1507,4,1,57
1511,1511,4,1,133
1514,1514,5,1,61
1516,1516,6,1,70
1517,1517,0,1,192
1520,1520,5,1,26
1521,1521,3,1,530
1524,1524,6,1,60
1525,1525,2,1,365
1529,1529,5,1,22
1530,1530,0,1,662
1531,1531,1,1,74
1534,1534,3,1,830
1537,1537,6,1,14
1541,1541,1,1,46
1542,1542,4,1,259
1543,1543,5,1,65
1546,1546,4,1,594
1549,1549,5,1,53
1553,1553,0,1,115
1555,1555,3,1,194
1556,1556,6,1,33
1559,1559,3,1,344
1562,1562,0,1,675
1563,1563,2,1,323
1566,1566,5,1,33
1571,1571,4,1,632
1572,1572,3,1,432
1574,1574,0,1,507
1579,1579,3,1,988
1583,1583,2,1,125
1584,1584,1,1,13
1585,1585,6,1,93
1589,1589,3,1,207
1594,1594,2,1,94
1597,1597,6,1,54
1599,1599,1,1,3
1600,1600,4,1,228
1605,1605,0,1,863
1608,1608,4,1,858
1612,1612,6,1,99
1613,1613,3,1,291
1617,1617,3,1,893
1622,1622,0,1,475
1623,1623,3,1,522
1628,1628,6,1,56
1633,1633,4,1,624
1638,1638,5,1,73
1640,1640,0,1,665
1644,1644,3,1,310
1646,1646,3,1,853
1649,1649,6,1,20
1653,1653,3,1,640
1658,1658,1,1,74
1661,1661,6,1,16
1664,1664,6,1,39
1669,1669,3,1,882
1673,1673,0,1,363
1675,1675,1,1,82
1679,1679,6,1,2
1684,1684,0,1,986
1687,1687,6,1,47
1690,1690,4,1,863
1692,1692,4,1,292
1697,1697,5,1,3
1699,1699,2,1,632
1702,1702,6,1,56
1705,1705,5,1,31
1706,1706,2,1,423
1710,1710,3,1,198
1713,1713,5,1,41
1714,1714,4,1,612
1719,1719,4,1,805
1721,1721,0,1,992
1724,1724,1,1,86
1727,1727,2,1,602
1728,1728,6,1,70
1730,1730,5,1,15
1735,1735,2,1,215
1736,1736,2,1,842
1737,1737,4,1,866
1740,1740,5,1,67
1745,1745,2,1,366
1746,1746,6,1,96
1748,1748,1,1,27
1751,1751,1,1,8
1756,1756,0,1,363
1761,1761,0,1,75
1765,1765,2,1,793
1770,1770,0,1,659
1775,1775,2,1,273
1780,1780,0,1,195
1781,1781,3,1,735
1784,1784,1,1,18
1789,1789,0,1,687
1790,1790,5,1,64
1792,1792,4,1,153
1796,1796,4,1,458
1801,1801,0,1,615
1802,1802,3,1,509
1804,1804,2,1,377
1807,1807,6,1,57
1810,1810,3,1,970
1815,1815,3,1,941
1818,1818,0,1,467
1823,1823,6,1,58
1826,1826,4,1,277
1827,1827,0,1,470
1832,1832,4,1,26
1833,1833,1,1,15
1834,1834,3,1,651
1838,1838,6,1,3
1839,1839,3,1,637
1840,1840,0,1,989
1844,1844,6,1,75
1845,1845,3,1,446
1846,1846,6,1,52
1850,1850,1,1,27
1851,1851,6,1,36
1854,1854,5,1,37
1856,1856,4,1,696
1859,1859,0,1,649
1864,1864,0,1,53
1868,1868,3,1,752
1871,1871,0,1,106
1872,1872,1,1,22
1873,1873,0,1,778
1876,1876,1,1,45
1879,1879,4,1,353
1880,1880,4,1,86
1882,1882,4,1,20
1884,1884,0,1,889
1887,1887,1,1,22
1891,1891,2,1,988
1892,1892,2,1,336
1894,1894,1,1,83
1898,1898,0,1,280
1903,1903,4,1,477
1905,1905,3,1,960
1909,1909,1,1,10
1912,1912,6,1,99
1917,1917,6,1,18
1920,1920,0,1,697
1923,1923,5,1,43
1925,1925,0,1,772
1927,1927,0,1,562
1931,1931,4,1,1000
1933,1933,6,1,28
1938,1938,1,1,53
1942,1942,6,1,75
1945,1945,5,1,72
1947,1947,2,1,333
1952,1952,0,1,365
1954,1954,4,1,969
1955,1955,5,1,75
1958,1958,4,1,42
1963,1963,3,1,605
1964,1964,6,1,66
1965,1965,1,1,28
1968,1968,6,1,42
1969,1969,3,1,93
1970,1970,4,1,776
1972,1972,4,1,847
1973,1973,6,1,43
1977,1977,4,1,67
1981,1981,2,1,945
1985,1985,0,1,213
1987,1987,5,1,36
1990,1990,6,1,47
1995,1995,6,1,1
1998,1998,4,1,307
2000,2000,4,1,452
2003,2003,5,1,97
2006,2006,1,1,52
2009,2009,1,1,55
2014,2014,2,1,327
2018,2018,3,1,57
2020,2020,1,1,91
2024,2024,6,1,74
2026,2026,6,1,16
2031,2031,6,1,16
2036,2036,1,1,91
2037,2037,6,1,87
2040,2040,6,1,27
2042,2042,4,1,140
2046,2046,6,1,49
2049,2049,4,1,81
2051,2051,4,1,848
2055,2055,4,1,497
2060,2060,6,1,46
2062,2062,1,1,24
2063,2063,0,1,86
2068,2068,3,1,238
2071,2071,6,1,29
2072,2072,3,1,643
2075,2075,1,1,41
2077,2077,1,1,39
2081,2081,6,1,22
2085,2085,2,1,750
2086,2086,3,1,868
2091,2091,1,1,52
2095,2095,3,1,479
2098,2098,4,1,791
2101,2101,4,1,801
2102,2102,4,1,710
2103,2103,3,1,312
2105,2105,2,1,759
2106,2106,4,1,219
2111,2111,0,1,615
2113,2113,5,1,53
2114,2114,5,1,81
2117,2117,1,1,64
2120,2120,4,1,55
2124,2124,2,1,199
2126,2126,3,1,674
2129,2129,0,1,524
2131,2131,0,1,430
2135,2135,1,1,39
2137,2137,0,1,768
2142,2142,3,1,625
2146,2146,6,1,23
2147,2147,5,1,87
2150,2150,5,1,30
2155,2155,1,1,16
2160,2160,6,1,4
2161,2161,3,1,582
2166,2166,2,1,344
2167,2167,2,1,431
2171,2171,1,1,7
2173,2173,6,1,23
2174,2174,2,1,768
2176,2176,2,1,492
2177,2177,6,1,44
2181,2181,4,1,540
2184,2184,6,1,48
2187,2187,3,1,246
2188,2188,1,1,68
2191,2191,3,1,621
2193,2193,1,1,63
2196,2196,2,1,198
2198,2198,5,1,2
2203,2203,6,1,99
2206,2206,3,1,600
2209,2209,4,1,778
2210,2210,2,1,885
2212,2212,6,1,16
2216,2216,1,1,1
2219,2219,1,1,39
2224,2224,0,1,782
2226,2226,2,1,732
2231,2231,1,1,56
2232,2232,6,1,9
2235,2235,0,1,9
2240,2240,2,1,153
2241,2241,5,1,3
2243,2243,0,1,867
2245,2245,5,1,9
2249,2249,1,1,65
2252,2252,2,1,350
2255,2255,1,1,83
2260,2260,1,1,69
2263,2263,5,1,60
2268,2268,4,1,733
2269,2269,2,1,300
2270,2270,6,1,63
2274,2274,2,1,498
2275,2275,2,1,617
2276,2276,0,1,75
2279,2279,6,1,73
2281,2281,0,1,379
2283,2283,6,1,16
2288,2288,3,1,215
2292,2292,5,1,89
2295,2295,4,1,169
2300,2300,1,1,27
2304,2304,4,1,766
2305,2305,5,1,51
2306,2306,1,1,51
2307,2307,3,1,758
2312,2312,0,1,579
2314,2314,4,1,765
2317,2317,0,1,621
2319,2319,0,1,144
2322,2322,3,1,647
2323,2323,3,1,771
2324,2324,0,1,758
2326,2326,0,1,883
2330,2330,5,1,75
2333,2333,1,1,67
2336,2336,5,1,73
2339,2339,0,1,382
2340,2340,4,1,896
2344,2344,4,1,151
2349,2349,0,1,190
2354,2354,3,1,85
2355,2355,5,1,24
2356,2356,6,1,45
2360,2360,2,1,437
2362,2362,1,1,93
2365,2365,4,1,391
2366,2366,5,1,33
2367,2367,0,1,236
2372,2372,3,1,403
2377,2377,6,1,94
2380,2380,2,1,301
2382,2382,2,1,457
2387,2387,1,1,63
2388,2388,6,1,18
2392,2392,5,1,46
2395,2395,6,1,26
2400,2400,5,1,68
2404,2404,4,1,233
2407,2407,5,1,3
2412,2412,5,1,95
2416,2416,4,1,427
2419,2419,4,1,83
2420,2420,6,1,63
2421,2421,4,1,25
2424,2424,4,1,148
2425,2425,4,1,918
2427,2427,0,1,223
2429,2429,1,1,67
2431,2431,5,1,43
2435,2435,5,1,10
2437,2437,6,1,4
2442,2442,2,1,375
2443,2443,1,1,42
2448,2448,3,1,721
2449,2449,2,1,856
2451,2451,3,1,993
2452,2452,4,1,347
2455,2455,0,1,631
2459,2459,4,1,667
2464,2464,5,1,29
2469,2469,6,1,83
2470,2470,6,1,9
2471,2471,5,1,12
2474,2474,5,1,92
2479,2479,4,1,707
2482,2482,5,1,85
2487,2487,5,1,45
2489,2489,4,1,205
2491,2491,0,1,256
2495,2495,5,1,35
2497,2497,5,1,90
2500,2500,2,1,799
2501,2501,5,1,47
2506,2506,4,1,888
2507,2507,2,1,803
2508,2508,1,1,6
2511,2511,5,1,36
2516,2516,3,1,607
2520,2520,2,1,482
2523,2523,3,1,108
2528,2528,4,1,950
2531,2531,2,1,65
2532,2532,6,1,88
2537,2537,4,1,928
2538,2538,5,1,67
2540,2540,4,1,652
2544,2544,3,1,689
2546,2546,0,1,548
2551,2551,1,1,100
2554,2554,5,1,26
2555,2555,6,1,78
2560,2560,0,1,50
2563,2563,2,1,276
2566,2566,2,1,342
2570,2570,2,1,637
2571,2571,6,1,6
2572,2572,2,1,757
2576,2576,4,1,566
2580,2580,2,1,486
2585,2585,6,1,31
2588,2588,4,1,781
2592,2592,5,1,99
2596,2596,2,1,744
2599,2599,1,1,94
2601,2601,6,1,52
2606,2606,3,1,941
2609,2609,4,1,488
2611,2611,6,1,40
2612,2612,4,1,740
2614,2614,1,1,13
2618,2618,1,1,44
2621,2621,0,1,875
2623,2623,2,1,199
2628,2628,4,1,770
2629,2629,3,1,946
2631,2631,3,1,689
2632,2632,5,1,7
2636,2636,4,1,458
2640,2640,5,1,36
2644,2644,5,1,51
2645,2645,0,1,477
2648,2648,1,1,9
2651,2651,3,1,978
2653,2653,5,1,56
2654,2654,0,1,925
2657,2657,2,1,543
2658,2658,1,1,10
2660,2660,1,1,76
2661,2661,6,1,62
2664,2664,3,1,170
2668,2668,0,1,426
2670,2670,3,1,239
2675,2675,0,1,317
2676,2676,1,1,91
2681,2681,2,1,562
2682,2682,1,1,11
2687,2687,0,1,635
2690,2690,3,1,293
2691,2691,4,1,292
2694,2694,2,1,22
2696,2696,2,1,563
2700,2700,2,1,708
2704,2704,5,1,88
2709,2709,0,1,167
2710,2710,0,1,607
2713,2713,2,1,121
2715,2715,2,1,410
2720,2720,5,1,56
2725,2725,6,1,66
2730,2730,0,1,178
2731,2731,4,1,990
2735,2735,0,1,948
2737,2737,2,1,781
2741,2741,3,1,690
2746,2746,1,1,61
2749,2749,1,1,58
2752,2752,5,1,4
2756,2756,6,1,90
2760,2760,6,1,29
2765,2765,2,1,591
2768,2768,4,1,448
2771,2771,3,1,24
2774,2774,3,1,503
2776,2776,6,1,46
2780,2780,6,1,76
2783,2783,3,1,448
2784,2784,0,1,753
2786,2786,2,1,809
2787,2787,1,1,91
2791,2791,0,1,556
2794,2794,2,1,617
2798,2798,3,1,432
2803,2803,5,1,54
2807,2807,3,1,960
2808,2808,6,1,58
2811,2811,6,1,84
2812,2812,4,1,571
2815,2815,6,1,32
2820,2820,1,1,68
2821,2821,2,1,911
2826,2826,1,1,1
2830,2830,4,1,952
2831,2831,5,1,18
2833,2833,5,1,40
2835,2835,1,1,23
2840,2840,2,1,170
2842,2842,0,1,592
2845,2845,3,1,975
2848,2848,3,1,998
2849,2849,2,1,165
2850,2850,3,1,496
2854,2854,5,1,11
2859,2859,5,1,48
2864,2864,4,1,434
2867,2867,2,1,737
2869,2869,4,1,882
2872,2872,3,1,431
2873,2873,1,1,37
2877,2877,2,1,562
2878,2878,4,1,322
2883,2883,3,1,698
2885,2885,5,1,68
2888,2888,0,1,193
2889,2889,4,1,972
2892,2892,0,1,998
2894,2894,2,1,569
2895,2895,3,1,924
2897,2897,4,1,648
2899,2899,3,1,854
2903,2903,2,1,753
2907,2907,3,1,938
2910,2910,1,1,71
2911,2911,0,1,242
2912,2912,3,1,69
2913,2913,6,1,94
2916,2916,2,1,190
2920,2920,5,1,14
2922,2922,3,1,758
2927,2927,5,1,90
2931,2931,3,1,540
2936,2936,2,1,770
2941,2941,5,1,21
2944,2944,5,1,59
2946,2946,5,1,10
2949,2949,5,1,15
2952,2952,6,1,53
2957,2957,0,1,185
2958,2958,6,1,91
2963,2963,6,1,2
2964,2964,4,1,307
2969,2969,5,1,39
2971,2971,2,1,279
2975,2975,6,1,73
2977,2977,4,1,644
2982,2982,1,1,15
2985,2985,2,1,389
2989,2989,1,1,64
2993,2993,2,1,727
2998,2998,0,1,714
3003,3003,5,1,76
3007,3007,4,1,781
3012,3012,2,1,616
3017,3017,6,1,67
3019,3019,0,1,556
3024,3024,0,1,404
3028,3028,3,1,627
3032,3032,4,1,653
3033,3033,3,1,155
3038,3038,6,1,16
3040,3040,3,1,727
3044,3044,6,1,81
3046,3046,3,1,853
3050,3050,3,1,861
3055,3055,3,1,983
3058,3058,3,1,521
3059,3059,5,1,43
3063,3063,5,1,5
3065,3065,0,1,80
3066,3066,6,1,81
3069,3069,3,1,651
3070,3070,4,1,437
3074,3074,1,1,68
3077,3077,1,1,14
3080,3080,0,1,899
3082,3082,6,1,85
3087,3087,0,1,353
3092,3092,2,1,817
3093,3093,3,1,966
3098,3098,0,1,934
3101,3101,6,1,3
3103,3103,3,1,17
3104,3104,3,1,232
3108,3108,4,1,207
3111,3111,2,1,786
3114,3114,6,1,63
3116,3116,3,1,476
3119,3119,5,1,30
3123,3123,6,1,56
3124,3124,6,1,60
3125,3125,3,1,391
3127,3127,1,1,79
3132,3132,4,1,76
3136,3136,2,1,398
3138,3138,6,1,13
3142,3142,6,1,10
3146,3146,6,1,10
3151,3151,4,1,127
3155,3155,1,1,1
3156,3156,1,1,93
3158,3158,2,1,87
3161,3161,3,1,678
3164,3164,3,1,648
3169,3169,0,1,401
3170,3170,5,1,56
3174,3174,5,1,79
3176,3176,4,1,669
3181,3181,4,1,890
3183,3183,1,1,73
3184,3184,5,1,19
3188,3188,0,1,119
3193,3193,6,1,28
3195,3195,0,1,924
3200,3200,1,1,22
3202,3202,2,1,288
3204,3204,0,1,910
3205,3205,3,1,63
3208,3208,4,1,951
3210,3210,3,1,306
3215,3215,0,1,449
3218,3218,3,1,50
3219,3219,5,1,92
3223,3223,5,1,28
3227,3227,6,1,34
3232,3232,6,1,19
3235,3235,6,1,61
3237,3237,2,1,817
3240,3240,1,1,81
3244,3244,5,1,59
3247,3247,2,1,578
3251,3251,6,1,66
3253,3253,2,1,282
3254,3254,2,1,456
3258,3258,6,1,1
3260,3260,6,1,16
3264,3264,5,1,44
3267,3267,3,1,686
3271,3271,4,1,290
3273,3273,1,1,61
3275,3275,5,1,70
3280,3280,6,1,96
3281,3281,0,1,138
3282,3282,5,1,100
3286,3286,5,1,22
3289,3289,4,1,107
3293,3293,0,1,153
3298,3298,0,1,613
3303,3303,3,1,110
3307,3307,6,1,93
3311,3311,1,1,69
3312,3312,4,1,496
3317,3317,3,1,122
3319,3319,0,1,3
3323,3323,3,1,885
3327,3327,5,1,53
3332,3332,6,1,7
3336,3336,4,1,494
3337,3337,0,1,825
3342,3342,2,1,911
3346,3346,2,1,676
3351,3351,6,1,63
3354,3354,3,1,381
3355,3355,2,1,274
3359,3359,2,1,941
3361,3361,6,1,52
3362,3362,1,1,4
3363,3363,6,1,58
3365,3365,3,1,82
3369,3369,5,1,4
3373,3373,5,1,39
3374,3374,1,1,3
3378,3378,6,1,91
3381,3381,1,1,58
3385,3385,2,1,456
3386,3386,1,1,10
3388,3388,1,1,86
3391,3391,3,1,652
3396,3396,5,1,84
3397,3397,1,1,50
3402,3402,3,1,894
3403,3403,6,1,26
3405,3405,4,1,828
3410,3410,2,1,17
3411,3411,3,1,237
3413,3413,3,1,267
3414,3414,2,1,921
3415,3415,5,1,82
3416,3416,2,1,826
3417,3417,5,1,74
3422,3422,6,1,42
3425,3425,3,1,398
3430,3430,4,1,276
3432,3432,3,1,727
3433,3433,2,1,302
3434,3434,0,1,893
3438,3438,3,1,33
3441,3441,5,1,86
3446,3446,4,1,514
3450,3450,3,1,814
3453,3453,0,1,135
3457,3457,1,1,32
3461,3461,6,1,64
3463,3463,3,1,149
3465,3465,3,1,824
3470,3470,2,1,485
3473,3473,1,1,59
3476,3476,4,1,820
3477,3477,2,1,775
3478,3478,3,1,801
3483,3483,1,1,24
3487,3487,6,1,45
3491,3491,6,1,5
3493,3493,4,1,698
3497,3497,4,1,154
3498,3498,4,1,13
3501,3501,4,1,991
3502,3502,1,1,63
3503,3503,3,1,106
3504,3504,4,1,771
3505,3505,0,1,590
3507,3507,6,1,53
3511,3511,6,1,48
3513,3513,4,1,106
3516,3516,5,1,13
3517,3517,6,1,5
3520,3520,2,1,917
3525,3525,0,1,3
3528,3528,6,1,90
3532,3532,6,1,50
3535,3535,0,1,811
3537,3537,4,1,562
3538,3538,3,1,178
3542,3542,3,1,56
3544,3544,3,1,823
3547,3547,3,1,190
3548,3548,5,1,54
3551,3551,0,1,456
3552,3552,2,1,916
3557,3557,5,1,3
3559,3559,2,1,153
3563,3563,0,1,16
3567,3567,5,1,83
3572,3572,2,1,563
3573,3573,2,1,294
3578,3578,6,1,17
3582,3582,1,1,4
3584,3584,5,1,38
3586,3586,3,1,842
3588,3588,4,1,600
3593,3593,0,1,852
3597,3597,6,1,46
3600,3600,4,1,820
3604,3604,4,1,450
3608,3608,6,1,51
3611,3611,2,1,750
3613,3613,0,1,245
3616,3616,5,1,17
3620,3620,3,1,470
